,AGNO,RBD,DGV_RBD,NOM_RBD,MRUN,RUT_SOSTENEDOR,P_JURIDICA,COD_REG_RBD,NOM_REG_RBD_A,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,LATITUD,LONGITUD,CONVENIO_PIE,ENS_01,ENS_02,ENS_03,ENS_04,ENS_05,ENS_06,ENS_07,ENS_08,ENS_09,ENS_10,ENS_11,MATRICULA,ESTADO_ESTAB,ORI_RELIGIOSA,ORI_OTRO_GLOSA,PAGO_MATRICULA,PAGO_MENSUAL,check
9922,2020,13424,4,JARDIN INFANTIL SUEÑO AZUL, ,65158542,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,-29.920011520000000,-71.21306610000001,0,10,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,True
9924,2020,13426,0,COLEGIO SAN LUCAS, ,65145922,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,-29.899290000000000,-71.24858100000000,0,110,310,0,0,0,0,0,0,0,0,0,1,1,2, ,$50.001 A $100.000,$50.001 A $100.000,True
9925,2020,13427,9,COLEGIO LOS CONQUISTADORES, ,65156134,1,4,COQ,43,4303,MONTE PATRIA,42,LIMARÍ,3,2,1,-30.696400000000000,-70.97139000000000,0,10,110,310,410,710,0,0,0,0,0,0,1,1,1, ,$1.000 A $10.000,$10.001 A $25.000,True
9926,2020,13428,7,ESCUELA BASICA SAN ISIDRO DE CUZ CUZ, ,69041200,1,4,COQ,42,4201,ILLAPEL,43,CHOAPA,2,1,1,-31.648270000000000,-71.20583300000000,1,110,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,True
9932,2020,13434,1,COLEGIO SAN JOAQUIN, ,78999990,1,4,COQ,41,4101,LA SERENA,41,ELQUI,4,3,0,-29.929061000000000,-71.24572999999999,0,10,110,310,0,0,0,0,0,0,0,0,1,1,1, ,MAS DE $100.000,MAS DE $100.000,True
9934,2020,13437,6,COLEGIO MONTEGRANDE, ,77211060,1,4,COQ,41,4101,LA SERENA,41,ELQUI,4,3,0,-29.923143000000000,-71.25069999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1, ,MAS DE $100.000,MAS DE $100.000,True
9936,2020,13439,2,COLEGIO PUCARA, ,65148124,1,4,COQ,43,4301,OVALLE,42,LIMARÍ,3,2,0,-30.591961000000000,-71.20207200000000,0,10,110,299,310,0,0,0,0,0,0,0,1,1,2, ,$1.000 A $10.000,$50.001 A $100.000,True
9939,2020,13442,2,COLEGIO SANTA FAMILIA, ,65154836,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,3,2,0,-29.990540000000000,-71.33412900000000,0,10,110,310,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,$25.001 A $50.000,True
9942,2020,13445,7,COLEGIO ESPANOL, ,65167513,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,3,2,0,-29.966181000000000,-71.34113300000000,1,310,0,0,0,0,0,0,0,0,0,0,1,1,2, ,$1.000 A $10.000,$50.001 A $100.000,True
9943,2020,13446,5,MARIA EDUCA, ,75957260,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,-29.920200000000000,-71.21363100000001,1,10,110,310,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO,True
